"Date","Max.temperature","Min.temperature","Avg.temperature","Norm.temperature","Depart.temperature","DD.heat","DD.cool","Total.equiv.precipitation","Trace.precipitation","Snow.ice.precipitation","Trace.snow.ice.precipitation","Snow.ice.onground","Trace.snow.ice.onground","Avg.wind.speed","Fastest.wind.speed","Fastest.wind.direction","Total.sunshine.minutes","Percent.possible.sunshine.minutes","Sky.cover","weather.occur"
2017-05-11,32,21,27,34,-7,38,0,0.01,FALSE,0,TRUE,3,FALSE,"12.7",29,"020(N)","225",25,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-12,39,29,34,34,0,31,0,0,FALSE,0,FALSE,2,FALSE,"9.1",23,"130(SE)","25",3,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-13,37,25,31,35,-4,34,0,0.11,FALSE,1.2,FALSE,1,FALSE,"24",42,"140(SE)","70",8,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-14,30,24,27,35,-8,38,0,2.23,FALSE,22.8,FALSE,5,FALSE,"33.5",55,"020(N)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2017-05-15,35,22,29,35,-6,36,0,1.15,FALSE,9.3,FALSE,20,FALSE,"52.2",94,"330(NW)","35",4,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME, BLOWING SNOW"
2017-05-16,41,31,36,36,0,29,0,0,FALSE,0,FALSE,15,FALSE,"48.5",79,"320(NW)","382",42,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-17,58,39,49,36,13,16,0,0,FALSE,0,FALSE,6,FALSE,"45",79,"290(W)","565",63,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-18,64,47,56,36,20,9,0,0.58,FALSE,0,TRUE,0,TRUE,"51.9",85,"280(W)","670",74,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER, HAIL"
2017-05-19,50,26,38,37,1,27,0,0.26,FALSE,0,FALSE,0,FALSE,"58",96,"280(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-20,38,26,32,37,-5,33,0,0,FALSE,0,FALSE,0,FALSE,"24.7",62,"330(NW)","896",99,4,"NA"
2017-05-21,49,31,40,37,3,25,0,0,TRUE,0,FALSE,0,FALSE,"9.8",33,"190(S)","644",71,8,"NA"
2017-05-22,48,28,38,38,0,27,0,0.5,FALSE,0,FALSE,0,FALSE,"29.3",48,"170(S)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-23,43,30,37,38,-1,28,0,0,FALSE,0,FALSE,0,FALSE,"34.6",62,"270(W)","380",41,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-05-24,45,39,42,38,4,23,0,0,FALSE,0,FALSE,0,FALSE,"7.5",25,"300(NW)","35",4,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-25,40,33,37,39,-2,28,0,0.33,FALSE,0,FALSE,0,FALSE,"45",83,"120(SE)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-26,42,30,36,39,-3,29,0,1.4,FALSE,0,FALSE,0,FALSE,"15",52,"120(SE)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-27,43,31,37,39,-2,28,0,0,FALSE,0,FALSE,0,FALSE,"22.5",50,"030(NE)","75",8,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-28,49,35,42,40,2,23,0,0,FALSE,0,FALSE,0,FALSE,"9.3",24,"180(S)","370",40,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-29,41,31,36,40,-4,29,0,0.27,FALSE,0,TRUE,0,FALSE,"23.9",43,"160(S)","10",1,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS"
2017-05-30,50,38,44,40,4,21,0,0.11,FALSE,0,FALSE,0,FALSE,"23.5",61,"240(SW)","381",41,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-05-31,46,37,42,41,1,23,0,0.26,FALSE,0,TRUE,0,FALSE,"30.8",65,"270(W)","295",32,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER, HAIL"
2017-06-01,42,30,36,41,-5,29,0,0.01,FALSE,0,TRUE,0,FALSE,"33.5",63,"270(W)","235",25,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, HAIL, *, *, GLAZE OR RIME"
2017-06-02,32,27,30,41,-11,35,0,0.63,FALSE,2.9,FALSE,0,FALSE,"43",74,"300(NW)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2017-06-03,34,28,31,42,-11,34,0,0.55,FALSE,1.2,FALSE,2,FALSE,"41.2",70,"300(NW)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-06-04,47,32,40,42,-2,25,0,0.06,FALSE,0,FALSE,1,FALSE,"14.8",41,"340(N)","215",23,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-05,37,30,34,42,-8,31,0,0.67,FALSE,0,FALSE,0,FALSE,"33.2",55,"120(SE)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, GLAZE OR RIME"
2017-06-06,33,27,30,43,-13,35,0,0.62,FALSE,1.2,FALSE,0,FALSE,"38.7",66,"080(E)","5",1,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, ICE PELLETS, GLAZE OR RIME"
2017-06-07,49,32,41,43,-2,24,0,0,FALSE,0,FALSE,0,TRUE,"24.9",55,"050(NE)","906",97,4,"NA"
2017-06-08,60,44,52,43,9,13,0,0,FALSE,0,FALSE,0,FALSE,"9.6",24,"190(S)","470",50,5,"NA"
2017-06-09,46,39,43,43,0,22,0,0.15,FALSE,0,FALSE,0,FALSE,"35.1",85,"290(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-06-10,52,37,45,44,1,20,0,0,TRUE,0,FALSE,0,FALSE,"35.8",69,"300(NW)","260",28,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-11,61,48,55,44,11,10,0,0,FALSE,0,FALSE,0,FALSE,"64.1",86,"280(W)","420",45,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-12,63,52,58,44,14,7,0,0,FALSE,0,FALSE,0,FALSE,"41.8",77,"300(NW)","90",10,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-13,55,39,47,45,2,18,0,0,TRUE,0,FALSE,0,FALSE,"48.1",73,"290(W)","20",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-14,45,37,41,45,-4,24,0,0,FALSE,0,FALSE,0,FALSE,"31.3",64,"320(NW)","942",100,6,"NA"
2017-06-15,54,35,45,45,0,20,0,0.01,FALSE,0,FALSE,0,FALSE,"15",33,"210(SW)","871",92,6,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-16,50,35,43,45,-2,22,0,0.76,FALSE,0,FALSE,0,FALSE,"30.5",64,"200(S)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-17,64,48,56,46,10,9,0,0,FALSE,0,FALSE,0,FALSE,"18",39,"250(W)","826",88,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-18,59,52,56,46,10,9,0,0.02,FALSE,0,FALSE,0,FALSE,"32.6",69,"250(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-19,58,49,54,46,8,11,0,0.63,FALSE,0,FALSE,0,FALSE,"38.5",71,"250(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-06-20,51,42,47,46,1,18,0,0.21,FALSE,0,FALSE,0,FALSE,"41.7",67,"270(W)","15",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-21,43,40,42,47,-5,23,0,0,TRUE,0,FALSE,0,FALSE,"49.7",73,"290(W)","15",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-22,48,38,43,47,-4,22,0,0,FALSE,0,FALSE,0,FALSE,"36.3",69,"290(W)","145",15,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-23,57,47,52,47,5,13,0,1.28,FALSE,0,FALSE,0,FALSE,"36",63,"240(SW)","5",1,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-06-24,56,42,49,47,2,16,0,1.46,FALSE,0,FALSE,0,FALSE,"44.4",70,"290(W)","50",5,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-25,48,37,43,47,-4,22,0,0.45,FALSE,0,TRUE,0,FALSE,"36",63,"290(W)","45",5,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER, HAIL, *, *, *"
2017-06-26,43,35,39,47,-8,26,0,0.07,FALSE,0,FALSE,0,FALSE,"33.5",65,"280(W)","50",5,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-27,45,34,40,48,-8,25,0,0.12,FALSE,0,TRUE,0,FALSE,"21.9",37,"250(W)","128",14,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER, HAIL, *, *, *"
2017-06-28,43,34,39,48,-9,26,0,0.44,FALSE,0.1,FALSE,0,FALSE,"37.7",62,"290(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, HAIL, *, *, *"
2017-06-29,50,38,44,48,-4,21,0,0.95,FALSE,0,FALSE,0,FALSE,"40.5",74,"240(SW)","20",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-06-30,56,49,53,48,5,12,0,0.59,FALSE,0,FALSE,0,FALSE,"33.4",73,"270(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-01,60,50,55,48,7,10,0,2.08,FALSE,0,FALSE,0,FALSE,"32.1",90,"270(W)","175",19,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-07-02,54,45,50,48,2,15,0,0.12,FALSE,0,FALSE,0,FALSE,"43.5",65,"280(W)","40",4,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-03,48,42,45,48,-3,20,0,0.04,FALSE,0,FALSE,0,FALSE,"48.4",79,"290(W)","20",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-04,48,39,44,49,-5,21,0,0,FALSE,0,FALSE,0,FALSE,"35.2",67,"300(NW)","300",32,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-05,60,42,51,49,2,14,0,0,FALSE,0,FALSE,0,FALSE,"17.4",52,"260(W)","897",96,4,"NA"
2017-07-06,54,46,50,49,1,15,0,0,FALSE,0,FALSE,0,FALSE,"32.2",51,"260(W)","35",4,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-07,58,49,54,49,5,11,0,0,FALSE,0,FALSE,0,FALSE,"16.1",46,"270(W)","155",17,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-08,53,44,49,49,0,16,0,0.48,FALSE,0,FALSE,0,FALSE,"26.9",55,"260(W)","135",14,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-07-09,50,40,45,49,-4,20,0,0.07,FALSE,0,FALSE,0,FALSE,"37.7",60,"300(NW)","87",9,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-10,53,44,49,49,0,16,0,0,TRUE,0,FALSE,0,FALSE,"34.3",59,"270(W)","40",4,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-11,59,46,53,49,4,12,0,0.06,FALSE,0,FALSE,0,FALSE,"24.8",61,"310(NW)","20",2,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-12,59,49,54,49,5,11,0,0.08,FALSE,0,FALSE,0,FALSE,"17.6",50,"290(W)","135",15,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-13,55,44,50,49,1,15,0,0.62,FALSE,0,FALSE,0,FALSE,"14.3",38,"240(SW)","124",13,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-14,54,47,51,49,2,14,0,0.16,FALSE,0,FALSE,0,FALSE,"14.6",46,"250(W)","72",8,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-15,53,46,50,49,1,15,0,0.44,FALSE,0,FALSE,0,FALSE,"25.6",55,"240(SW)","7",1,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-07-16,60,48,54,49,5,11,0,0,FALSE,0,FALSE,0,FALSE,"13.4",40,"320(NW)","555",60,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-17,59,49,54,49,5,11,0,0.21,FALSE,0,FALSE,0,FALSE,"15.2",48,"220(SW)","415",45,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-07-18,60,49,55,49,6,10,0,0.02,FALSE,0,FALSE,0,FALSE,"22.3",60,"230(SW)","435",47,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-19,58,50,54,49,5,11,0,0,TRUE,0,FALSE,0,FALSE,"30.5",52,"300(NW)","568",62,6,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-20,58,48,53,49,4,12,0,0,FALSE,0,FALSE,0,FALSE,"28.4",49,"290(W)","42",5,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-21,58,46,52,49,3,13,0,0,FALSE,0,FALSE,0,FALSE,"34.3",74,"300(NW)","415",45,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-22,53,45,49,49,0,16,0,0,FALSE,0,FALSE,0,FALSE,"32.3",60,"300(NW)","160",18,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-23,52,43,48,49,-1,17,0,0,FALSE,0,FALSE,0,FALSE,"13.4",33,"300(NW)","515",57,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-24,46,34,40,49,-9,25,0,0.72,FALSE,0,FALSE,0,FALSE,"22.9",47,"110(E)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-25,47,36,42,49,-7,23,0,0.12,FALSE,0,FALSE,0,FALSE,"10.5",29,"090(E)","95",10,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-26,56,43,50,49,1,15,0,0,TRUE,0,FALSE,0,FALSE,"13",45,"260(W)","566",63,6,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-27,50,41,46,49,-3,19,0,0.34,FALSE,0,FALSE,0,FALSE,"37",56,"290(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-28,52,39,46,49,-3,19,0,0.09,FALSE,0,FALSE,0,FALSE,"25.3",61,"300(NW)","565",63,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-29,51,36,44,49,-5,21,0,0,FALSE,0,FALSE,0,FALSE,"10.2",30,"050(NE)","845",94,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-30,50,38,44,49,-5,21,0,0,FALSE,0,FALSE,0,FALSE,"22.3",51,"360(N)","826",92,4,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-07-31,57,46,52,49,3,13,0,0.15,FALSE,0,TRUE,0,FALSE,"27.4",50,"300(NW)","285",32,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER, HAIL, *"
2017-08-01,58,47,53,49,4,12,0,0,TRUE,0,FALSE,0,FALSE,"15.8",51,"320(NW)","890",100,3,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS"
2017-08-02,59,49,54,49,5,11,0,0.01,FALSE,0,FALSE,0,FALSE,"13.3",31,"220(SW)","283",32,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-08-03,60,50,55,49,6,10,0,0.02,FALSE,0,FALSE,0,FALSE,"8.2",19,"290(W)","330",37,8,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-08-04,56,49,53,49,4,12,0,0.21,FALSE,0,FALSE,0,FALSE,"23.1",51,"160(S)","62",7,9,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
2017-08-05,53,41,47,49,-2,18,0,1.25,FALSE,0,FALSE,0,FALSE,"36.3",72,"260(W)","0",0,10,"FOG, FOG REDUCING VISIBIBILITY TO 1/4 MILE OR LESS, THUNDER"
